crawl_date,city,forecast_date,sunrise,sunset,temp_min_°C_,temp_max_°C_,morning_temp_°C_,day_temp_°C_,evening_temp_°C_,night_temp_°C_,pressure_hPa_,humidity_%_,wind_speed_m/s_,wind_deg_°_,cloudiness_%_,weather_main,weather_desc,pop_%_,rain_mm_,Days,DaySort
2025-09-12,Delhi,2025-09-17,06:04,18:30,30.15,30.15,,,,30.15,1003,59,2.91,115,100,Rain,light rain,20,0.12,Wed,5
2025-09-12,Hyderabad,2025-09-17,06:03,18:21,22.78,22.78,,,,22.78,1007,95,2.8,325,100,Rain,light rain,21,0.12,Wed,5
2025-09-12,Kanpur,2025-09-17,05:53,18:17,25.31,25.31,,,,25.31,1004,93,3.57,89,100,Rain,light rain,22,0.15,Wed,5
2025-09-12,Nagpur,2025-09-17,06:00,18:20,22.97,22.97,,,,22.97,1006,94,2.28,295,100,Rain,light rain,88,1.38,Wed,5
2025-09-12,Patna,2025-09-17,05:34,17:57,24.84,24.84,,,,24.84,1004,95,3.47,88,100,Rain,light rain,99,0.69,Wed,5
2025-09-12,Varanasi,2025-09-17,05:42,18:06,24.64,24.64,,,,24.64,1004,96,2.36,63,100,Rain,light rain,20,0.18,Wed,5
2025-09-12,Bangalore,2025-09-17,06:08,18:23,20.58,20.58,,,,20.58,1009,90,3.51,293,100,Rain,light rain,100,1.32,Wed,5
2025-09-12,Kolkata,2025-09-17,05:22,17:43,25.39,25.39,,,,25.39,1005,92,2.55,213,100,Rain,light rain,100,1.92,Wed,5
2025-09-12,Pune,2025-09-16,06:21,18:40,21.34,24.8,23.215,24.035,22.31,21.5233333333333,1009.5,86.75,2.2575,252.875,100,Clouds,overcast clouds,21.5,0.89,Tue,4
2025-09-12,Patna,2025-09-16,05:34,17:57,24.9,26.66,25.77,26.535,25.23,25.1466666666667,1004.875,92,2.3825,92.875,100,Rain,moderate rain,100,43.05,Tue,4
2025-09-12,Nagpur,2025-09-12,06:00,18:20,24.1,29.65,25.105,28.57,24.87,24.315,1007.14285714286,86.4285714285714,2.7,292.285714285714,100,Rain,light rain,67.2857142857143,8.39,Today,1
2025-09-12,Nagpur,2025-09-14,06:00,18:20,23.79,30.31,27.17,29.29,25.99,24.1333333333333,1006.375,84.875,1.63625,206.125,100,Rain,light rain,74.125,9.63,Sun,9
2025-09-12,Nagpur,2025-09-15,06:00,18:20,23.54,27.42,24.89,25.755,23.93,24.03,1005.875,92,1.62125,210.5,100,Rain,light rain,80.5,18.54,Mon,3
2025-09-12,Nagpur,2025-09-16,06:00,18:20,23.34,24.79,24.36,24.28,23.68,23.48,1006.375,93.125,2.7075,291.375,100,Rain,light rain,42.5,2.92,Tue,4
2025-09-12,Kolkata,2025-09-15,05:22,17:43,25.92,27.76,26.405,27.405,26.68,26.1866666666667,1005,89.75,3.1625,166.375,100,Rain,light rain,82.125,19.83,Mon,3
2025-09-12,Kolkata,2025-09-16,05:22,17:43,25.19,27.48,26.835,26.695,25.71,25.5666666666667,1005.375,89.5,3.51375,190.625,100,Rain,light rain,87.5,16.48,Tue,4
2025-09-12,Hyderabad,2025-09-12,06:03,18:21,22.27,26.67,24.665,25.475,23.71,22.58,1008,88.5714285714286,4.54,330.285714285714,100,Rain,light rain,89.4285714285714,27.85,Today,1
2025-09-12,Mumbai,2025-09-14,06:25,18:44,25.28,26.39,25.53,25.74,26.31,25.9833333333333,1009.625,84.125,4.51,322.25,100,Rain,light rain,82.875,7.54,Sun,9
2025-09-12,Mumbai,2025-09-16,06:25,18:44,26.45,27.19,26.8,26.875,26.52,26.6,1008.25,77.875,1.96,248.25,100,Rain,light rain,47.75,4.04,Tue,4
2025-09-12,Pune,2025-09-13,06:21,18:40,21.68,23.48,23.135,22.485,21.8,21.9933333333333,1010.125,89.375,1.9225,280.875,100,Rain,light rain,45.75,5.09,Tomorrow,2
2025-09-12,Bangalore,2025-09-14,06:08,18:23,19.89,26.26,23.81,25.455,23.56,20.5033333333333,1010.375,75.25,4.4725,268.375,100,Clouds,light rain,45.75,2.54,Sun,9
2025-09-12,Surat,2025-09-14,06:25,18:45,25.12,26.06,25.18,25.705,25.2,25.6833333333333,1008.75,87.75,2.86125,252,100,Clouds,light rain,35.5,3.7,Sun,9
2025-09-12,Chennai,2025-09-14,05:58,18:12,28.18,33.72,32.095,30.31,29.4,28.74,1006.75,65.25,4.76,176.875,98.375,Clouds,light rain,29.875,1.86,Sun,9
2025-09-12,Bangalore,2025-09-13,06:08,18:23,19.62,27.26,23.96,25.845,22.93,20.5333333333333,1009.625,73.875,3.7425,279.25,99.625,Clouds,light rain,35.875,1.82,Tomorrow,2
2025-09-12,Pune,2025-09-15,06:21,18:40,21.88,26.04,24.105,25.2,22.37,22.1433333333333,1009.25,86.375,3.12625,273.25,99.625,Clouds,light rain,29.5,3.17,Mon,3
2025-09-12,Surat,2025-09-16,06:25,18:45,25.17,29.25,27.735,28.33,26.42,25.4633333333333,1007.25,80.25,3.59375,239,92.75,Clouds,light rain,22.875,1.21,Tue,4
2025-09-12,Indore,2025-09-13,06:12,18:33,21.75,29.95,26.29,28.44,24.71,22.7466666666667,1008.75,79.5,2.14125,190.75,88.75,Clouds,light rain,44.625,4.93,Tomorrow,2
2025-09-12,Vadodara,2025-09-14,06:23,18:44,25.09,27.02,25.23,26.265,25.54,26.12,1008.5,83.25,3.1925,211.375,99.5,Clouds,light rain,33.75,1.62,Sun,9
2025-09-12,Indore,2025-09-12,06:12,18:33,21.82,28.71,24.785,27.605,23.2,22.19,1009.42857142857,81,3.22,330.142857142857,67.5714285714286,Clouds,light rain,24.1428571428571,1.87,Today,1
2025-09-12,Chennai,2025-09-17,05:58,18:12,25.92,25.92,,,,25.92,1006,84,5.21,249,99,Rain,light rain,100,2.16,Wed,5
2025-09-12,Surat,2025-09-17,06:25,18:45,25.4,25.4,,,,25.4,1006,90,3.4,232,99,Rain,light rain,100,1.53,Wed,5
2025-09-12,Bhopal,2025-09-17,06:06,18:27,22.43,22.43,,,,22.43,1006,95,2.61,286,95,Rain,light rain,100,1.26,Wed,5
2025-09-12,Vadodara,2025-09-17,06:23,18:44,25.84,25.84,,,,25.84,1006,84,2.72,218,88,Rain,light rain,36,0.21,Wed,5
2025-09-12,Ludhiana,2025-09-17,06:09,18:37,24.48,24.48,,,,24.48,1003,89,2.23,138,0,Rain,light rain,98,1.2,Wed,5
2025-09-12,Mumbai,2025-09-13,06:25,18:44,26.35,27.4,26.97,27,26.63,26.79,1008.875,78.125,2.2775,226.875,99.375,Rain,light rain,34.625,2.16,Tomorrow,2
2025-09-12,Mumbai,2025-09-15,06:25,18:44,26.26,27.25,26.665,27.235,27.16,26.58,1008.375,78.75,3.29625,300,99.875,Rain,light rain,40,1.87,Mon,3
2025-09-12,Bangalore,2025-09-12,06:08,18:23,20.4,26.35,24.2,25.06,21.46,20.59,1010,73,4.72285714285714,316.428571428571,99.4285714285714,Rain,light rain,39.4285714285714,2.69,Today,1
2025-09-12,Bangalore,2025-09-16,06:08,18:23,19.97,26.77,23.87,25.51,22.65,20.49,1009.375,77.375,4.0075,287.125,99.75,Rain,light rain,62.125,9.12,Tue,4
2025-09-12,Chennai,2025-09-15,05:58,18:12,28.74,33.49,32.355,29.945,29.35,29.07,1006.125,65.125,4.44375,183.25,90.75,Rain,light rain,31.625,2.21,Mon,3
2025-09-12,Chennai,2025-09-16,05:58,18:12,28.29,33.69,32.385,30.775,29.44,28.5366666666667,1005.75,65.625,4.86875,203.125,99.125,Rain,light rain,50.125,4.25,Tue,4
2025-09-12,Kolkata,2025-09-14,05:22,17:43,26.7,33.55,32.055,29.93,27.34,26.8233333333333,1006.375,77.625,4.39375,191.875,99.25,Rain,light rain,88.25,10.93,Sun,9
2025-09-12,Hyderabad,2025-09-13,06:03,18:21,22.62,28.38,25.315,27.45,24.67,23.11,1006.875,85.75,2.18625,181.625,99.625,Rain,light rain,83.125,22.25,Tomorrow,2
2025-09-12,Hyderabad,2025-09-14,06:03,18:21,22.97,28.54,26.405,27.23,24.42,23.29,1007.125,85.625,2.4375,269.5,98.125,Rain,light rain,91.625,18.04,Sun,9
2025-09-12,Hyderabad,2025-09-15,06:03,18:21,22.51,29.15,26.205,28.07,25.64,23.0633333333333,1006.625,81.5,3.6575,299.875,98.125,Rain,light rain,46,6.94,Mon,3
2025-09-12,Hyderabad,2025-09-16,06:03,18:21,22.52,28.23,26.17,27.115,23.88,23.1133333333333,1007.125,85.125,3.38,317.625,99.875,Rain,light rain,90.125,15.9,Tue,4
2025-09-12,Pune,2025-09-14,06:21,18:40,21.48,25.86,21.965,25.315,22.54,21.83,1010,90.875,2.6575,274.875,99.75,Rain,light rain,70.25,11.96,Sun,9
2025-09-12,Lucknow,2025-09-15,05:50,18:15,28.69,35.36,33.43,32.86,29.67,28.71,1002.5,62.25,1.43125,238.125,84.625,Rain,light rain,36.5,2.02,Mon,3
2025-09-12,Lucknow,2025-09-16,05:50,18:15,24.58,32.34,30.69,30.955,24.83,26.1966666666667,1004,76.25,3.02,113.25,91.125,Rain,light rain,58,4.84,Tue,4
2025-09-12,Surat,2025-09-13,06:25,18:45,26.17,29.17,28.065,28.51,26.57,26.21,1008.25,81.25,2.4075,270.625,99.625,Rain,light rain,45.25,3.87,Tomorrow,2
2025-09-12,Nagpur,2025-09-13,06:00,18:20,23.69,29.07,27.5,26.82,24.87,23.99,1006.5,87.75,2.2125,160,99.625,Rain,light rain,89,16.02,Tomorrow,2
2025-09-12,Indore,2025-09-14,06:12,18:33,22.4,28.16,26.485,26.305,23.3,22.88,1008.25,85.75,2.8175,314.875,97.25,Rain,light rain,94.25,14.93,Sun,9
2025-09-12,Indore,2025-09-15,06:12,18:33,22.19,27.77,23.505,26.42,22.96,22.4,1007.375,90.125,4.2475,297.125,93.875,Rain,light rain,47.125,5.84,Mon,3
2025-09-12,Bhopal,2025-09-14,06:06,18:27,23.97,30.83,28.075,29.275,25.59,24.66,1007.25,77,1.57375,218.5,93.5,Rain,light rain,78,6.54,Sun,9
2025-09-12,Bhopal,2025-09-15,06:06,18:27,23.39,28.9,25.55,27.87,24.33,23.77,1006.125,86.25,2.85875,304.25,97.75,Rain,light rain,89.625,23.62,Mon,3
2025-09-12,Bhopal,2025-09-16,06:06,18:27,22.53,26.18,24.56,25.8,22.53,23.03,1006.875,90.25,2.97,267.5,91.375,Rain,light rain,64.625,13.4,Tue,4
2025-09-12,Patna,2025-09-13,05:34,17:57,27.04,35.11,33.12,32.135,27.6,28.8633333333333,1005.5,69.125,2.04,175.75,95.75,Rain,light rain,72.125,11.77,Tomorrow,2
2025-09-12,Patna,2025-09-14,05:34,17:57,27.1,32.82,29.37,31.67,28.29,27.1866666666667,1004.875,77.5,2.28375,120.5,99.625,Rain,light rain,53.25,7.25,Sun,9
2025-09-12,Patna,2025-09-15,05:34,17:57,26.27,31.97,29.575,31.055,28.04,26.4666666666667,1003.625,78.375,2.46,84,96.875,Rain,light rain,53.625,7.17,Mon,3
2025-09-12,Varanasi,2025-09-16,05:42,18:06,24.59,31.61,28.445,30.445,25.96,25.03,1004,84.625,2.3675,142.25,97.125,Rain,light rain,87.625,20.07,Tue,4
2025-09-12,Chennai,2025-09-12,05:58,18:12,26.88,30,28.805,29.395,27.95,27.17,1006.14285714286,66,3.60285714285714,162.714285714286,97.2857142857143,Clouds,overcast clouds,37.2857142857143,3.44,Today,1
2025-09-12,Chennai,2025-09-13,05:58,18:12,26.85,32.85,30.8,31.705,29.32,27.7233333333333,1006.25,65.5,5.185,209.625,99.75,Clouds,overcast clouds,18.25,1.21,Tomorrow,2
2025-09-12,Kolkata,2025-09-12,05:22,17:43,27.49,32.87,31.42,30.44,27.9,27.525,1006,73.7142857142857,2.98857142857143,149.285714285714,97.4285714285714,Clouds,overcast clouds,42.5714285714286,4.76,Today,1
2025-09-12,Kolkata,2025-09-13,05:22,17:43,26.89,32.79,31.57,30.66,28.37,27.2533333333333,1006.875,74.625,3.6125,171.125,98.75,Clouds,overcast clouds,24.125,0.75,Tomorrow,2
2025-09-12,Surat,2025-09-15,06:25,18:45,24.92,28.12,27.07,27.81,26.33,25.3633333333333,1007.625,79.375,2.5375,244.375,99.625,Clouds,overcast clouds,9.5,0.47,Mon,3
2025-09-12,Kanpur,2025-09-14,05:53,18:17,28.96,34.9,32.555,33.04,29.82,29.0966666666667,1004.5,61.875,2.3025,289,75.5,Clouds,overcast clouds,6.125,0.59,Sun,9
2025-09-12,Kanpur,2025-09-16,05:53,18:17,25.61,35.39,32.095,33.845,28.88,27.0666666666667,1003.375,63.25,2.025,203.5,91.625,Clouds,overcast clouds,14.625,4.95,Tue,4
2025-09-12,Indore,2025-09-16,06:12,18:33,21.46,26.41,24.605,24.875,22.58,21.6933333333333,1007.375,90.25,3.50375,278.25,88.125,Clouds,overcast clouds,56,12.74,Tue,4
2025-09-12,Bhopal,2025-09-12,06:06,18:27,22.12,30.31,25.8,30.12,24.47,23.345,1008.71428571429,79.1428571428571,3.10571428571429,331,88.1428571428571,Clouds,overcast clouds,9.71428571428571,0.69,Today,1
2025-09-12,Bhopal,2025-09-13,06:06,18:27,23.99,31.07,27.87,29.52,27.25,24.8833333333333,1007.75,73.125,2.275,260.125,85,Clouds,overcast clouds,6.875,0.32,Tomorrow,2
2025-09-12,Varanasi,2025-09-14,05:42,18:06,27.57,35.57,32.75,33.865,30.75,28.8866666666667,1003.875,60.875,1.96375,193.125,97,Clouds,overcast clouds,9.625,1.12,Sun,9
2025-09-12,Bangalore,2025-09-15,06:08,18:23,18.94,26.67,23.765,25.375,22.92,19.99,1009.75,76.5,3.72125,262.625,79.75,Clouds,broken clouds,50,3.45,Mon,3
2025-09-12,Vadodara,2025-09-12,06:23,18:44,25.39,32.15,29.38,31.33,29.35,26.095,1008.42857142857,65.2857142857143,2.32571428571429,247,84.4285714285714,Clouds,broken clouds,5.28571428571429,0.16,Today,1
2025-09-12,Vadodara,2025-09-13,06:23,18:44,25.24,34.07,29.79,31.815,28.29,26.2266666666667,1008,68.75,2.0725,193,77.125,Clouds,broken clouds,12.75,1.2,Tomorrow,2
2025-09-12,Varanasi,2025-09-15,05:42,18:06,25.33,34.81,32.855,33.05,26.48,26.4566666666667,1002.625,72.75,1.98125,194.75,86.625,Clouds,broken clouds,47.5,10.3,Mon,3
2025-09-12,Delhi,2025-09-13,06:04,18:30,30.34,37.15,33.945,36.43,32.74,31.1,1005.375,48.625,2.54625,203.125,61.5,Clouds,broken clouds,2.5,0.17,Tomorrow,2
2025-09-12,Delhi,2025-09-16,06:04,18:30,30.21,36.11,33.14,35.515,31.92,30.5766666666667,1003.125,45.125,2.6775,203.875,27,Clouds,clear sky,4.375,0.3,Tue,4
2025-09-12,Ludhiana,2025-09-16,06:09,18:37,25.63,31.78,27.315,31.63,26.42,25.83,1003.375,77.375,2.21625,138,32,Clouds,few clouds,20.625,1.2,Tue,4
2025-09-12,Ludhiana,2025-09-14,06:09,18:37,25.82,32.46,28.69,31.945,27.9,26.32,1004.625,72.5,1.58,219.125,30,Clear,clear sky,2.875,0.14,Sun,9
2025-09-12,Delhi,2025-09-14,06:04,18:30,30.29,37.41,33.955,36.7,33.18,31.2266666666667,1004.375,46.375,3.0525,286.25,39.5,Clear,clear sky,7,0.31,Sun,9
2025-09-12,Surat,2025-09-12,06:25,18:45,25.61,29.63,28.205,29.06,26.07,25.91,1008.85714285714,73.8571428571429,2.13285714285714,238.285714285714,55.4285714285714,Clouds,broken clouds,0.571428571428571,0,Today,1
2025-09-12,Lucknow,2025-09-14,05:50,18:15,29.1,35.63,31.69,34.065,30.38,29.55,1004.375,62.25,1.9975,290.75,84,Clouds,overcast clouds,3,0,Sun,9
2025-09-12,Lucknow,2025-09-13,05:50,18:15,27.77,36.02,33.115,34,30.62,28.62,1005.5,59.25,1.805,216.375,45.5,Clouds,broken clouds,0,0,Tomorrow,2
2025-09-12,Jaipur,2025-09-12,06:10,18:35,24.48,32.05,27.925,30.93,29.04,26.04,1007.85714285714,59.5714285714286,3.91714285714286,292.142857142857,60.8571428571429,Clouds,broken clouds,0,0,Today,1
2025-09-12,Jaipur,2025-09-14,06:10,18:35,25.5,33.67,30.015,32.75,28.31,26.4366666666667,1006.5,55.375,3.82625,286.5,32.5,Clouds,few clouds,0,0,Sun,9
2025-09-12,Lucknow,2025-09-12,05:50,18:15,27.3,34.27,31.79,32.92,30.26,28.47,1005.42857142857,57.8571428571429,2.38142857142857,255,73.5714285714286,Clouds,broken clouds,0,0,Today,1
2025-09-12,Kanpur,2025-09-12,05:53,18:17,26.6,34.62,31.205,34.055,31.17,28.13,1005.57142857143,56.5714285714286,1.87142857142857,262.428571428571,74.4285714285714,Clouds,broken clouds,0,0,Today,1
2025-09-12,Kanpur,2025-09-13,05:53,18:17,27.62,36.33,32.78,34.18,30.78,28.5166666666667,1005.75,58.75,1.93,218.625,60.25,Clouds,scattered clouds,0,0,Tomorrow,2
2025-09-12,Ludhiana,2025-09-13,06:09,18:37,25.86,31.36,28.455,31.355,28.08,26.5666666666667,1005.625,76,1.74875,221.625,43.75,Clouds,clear sky,0,0,Tomorrow,2
2025-09-12,Ludhiana,2025-09-15,06:09,18:37,26.02,32.25,29.015,31.9,27.96,26.5233333333333,1002.625,70,1.7375,190.625,39.5,Clouds,broken clouds,0,0,Mon,3
2025-09-12,Agra,2025-09-12,06:02,18:26,28.15,35.5,31.645,34.83,31.58,29.11,1006,51.4285714285714,3.04428571428571,285.142857142857,47.7142857142857,Clouds,broken clouds,0,0,Today,1
2025-09-12,Agra,2025-09-13,06:02,18:26,29,36.31,32.365,35.095,31.23,29.5933333333333,1005.875,53.625,2.32125,275.875,58.25,Clouds,broken clouds,0,0,Tomorrow,2
2025-09-12,Agra,2025-09-14,06:02,18:26,28.86,36.32,33.42,35.605,32.31,29.58,1004.625,50.25,3.22375,286.5,45,Clouds,broken clouds,0,0,Sun,9
2025-09-12,Agra,2025-09-15,06:02,18:26,29.35,36.5,32.97,35.435,31.47,29.7,1003,47.875,3.63,277.625,41.25,Clouds,broken clouds,0,0,Mon,3
2025-09-12,Mumbai,2025-09-12,06:25,18:44,27.14,27.77,27.16,27.645,27.7,27.28,1009.28571428571,75.4285714285714,2.20571428571429,216,97.1428571428571,Clouds,overcast clouds,0,0,Today,1
2025-09-12,Pune,2025-09-12,06:21,18:40,21.74,25.38,23.93,25.14,23.18,22.125,1010.57142857143,79.5714285714286,2.53428571428571,281.428571428571,99.5714285714286,Clouds,overcast clouds,0,0,Today,1
2025-09-12,Jaipur,2025-09-13,06:10,18:35,25.32,33.72,29.51,32.01,29.35,26.5733333333333,1007.25,56.875,3.87,286.25,57.375,Clouds,overcast clouds,0,0,Tomorrow,2
2025-09-12,Kanpur,2025-09-15,05:53,18:17,27.58,35.8,32.515,33.885,30.02,28.19,1002.625,59.75,2.2975,238.125,99.125,Clouds,overcast clouds,0,0,Mon,3
2025-09-12,Patna,2025-09-12,05:34,17:57,27.55,34.31,31.79,33.525,31.55,29.39,1005.14285714286,61.1428571428571,1.78285714285714,305.142857142857,97.5714285714286,Clouds,overcast clouds,0,0,Today,1
2025-09-12,Vadodara,2025-09-15,06:23,18:44,24.79,30.87,28.75,30.495,27.42,25.19,1006.875,71.75,3.605,226.625,96,Clouds,overcast clouds,0,0,Mon,3
2025-09-12,Vadodara,2025-09-16,06:23,18:44,25.27,32.49,29.055,31.76,27.19,25.71,1006.5,69.625,4.115,225.5,86.875,Clouds,overcast clouds,0,0,Tue,4
2025-09-12,Agra,2025-09-16,06:02,18:26,28.66,33.59,29.805,33.41,31,29.0366666666667,1003.625,53.5,2.255,223.5,65.875,Clouds,overcast clouds,0,0,Tue,4
2025-09-12,Varanasi,2025-09-12,05:42,18:06,26.91,34.44,31.015,32.66,30.78,28.445,1005.57142857143,62.7142857142857,2.47571428571429,284.714285714286,96.4285714285714,Clouds,overcast clouds,0,0,Today,1
2025-09-12,Varanasi,2025-09-13,05:42,18:06,29.24,36.13,32.715,34.16,31.05,29.7433333333333,1005,60,1.165,219.125,92.125,Clouds,overcast clouds,0,0,Tomorrow,2
2025-09-12,Jaipur,2025-09-15,06:10,18:35,24.51,32.67,28.895,31.675,27.2,25.39,1004.75,59.625,4.4825,274.875,9.25,Clear,clear sky,0,0,Mon,3
2025-09-12,Jaipur,2025-09-16,06:10,18:35,23.63,32.51,28.335,31.9,28,24.8466666666667,1005.125,61.125,3.32625,266.75,11,Clear,clear sky,0,0,Tue,4
2025-09-12,Delhi,2025-09-15,06:04,18:30,30.33,37.4,33.73,36.695,33.66,31.6366666666667,1002.375,40.625,3.49375,292.375,8.5,Clear,clear sky,0,0,Mon,3
2025-09-12,Delhi,2025-09-12,06:04,18:30,29.86,36.83,31.56,35.425,32.53,30.83,1005.42857142857,48.4285714285714,3.65,213.142857142857,22.2857142857143,Clear,clear sky,0,0,Today,1
2025-09-12,Ludhiana,2025-09-12,06:09,18:37,25.61,32.01,28.885,31.35,27.58,26.03,1005.57142857143,73.7142857142857,1.98571428571429,229.428571428571,28.8571428571429,Clear,clear sky,0,0,Today,1
2025-09-12,Pune,2025-09-17,06:21,18:40,20.92,20.92,,,,20.92,1009,92,2.45,245,99,Clouds,overcast clouds,0,0,Wed,5
2025-09-12,Lucknow,2025-09-17,05:50,18:15,24.21,24.21,,,,24.21,1005,96,3.32,94,71,Clouds,broken clouds,0,0,Wed,5
2025-09-12,Indore,2025-09-17,06:12,18:33,21.04,21.04,,,,21.04,1007,95,2.9,282,37,Clouds,scattered clouds,0,0,Wed,5
2025-09-12,Agra,2025-09-17,06:02,18:26,29.39,29.39,,,,29.39,1004,61,1.47,201,96,Clouds,overcast clouds,0,0,Wed,5
2025-09-12,Jaipur,2025-09-17,06:10,18:35,24.64,24.64,,,,24.64,1005,76,3.62,288,8,Clear,clear sky,0,0,Wed,5
2025-09-12,Mumbai,2025-09-17,06:25,18:44,26.22,26.22,,,,26.22,1007,79,1.81,174,100,Clouds,overcast clouds,0,0,Wed,5
